Season,Team,Conference,Conf. Rank,W,L,Playoff Result,3PM,3PA
2014-15,Atlanta Hawks,East,1,60,22,Conf. Finals,10,26.2
2014-15,Boston Celtics,East,7,40,42,1st Round,8,24.6
2014-15,Brooklyn Nets,East,8,38,44,1st Round,6.6,19.9
2014-15,Charlotte Hornets,East,11,33,49,None,6.1,19.1
2014-15,Chicago Bulls,East,3,50,32,2nd Round,7.9,22.3
2014-15,Cleveland Cavaliers,East,2,53,29,Finals,10.1,27.5
2014-15,Dallas Mavericks,West,7,50,32,1st Round,8.9,25.4
2014-15,Denver Nuggets,West,12,30,52,None,8,24.8
2014-15,Detroit Pistons,East,12,32,50,None,8.6,24.9
2014-15,Golden State Warriors,West,1,67,15,Champions,10.8,27
2014-15,Houston Rockets,West,2,56,26,Conf. Finals,11.4,32.7
2014-15,Indiana Pacers,East,9,38,44,None,7.5,21.2
2014-15,Los Angeles Clippers,West,3,56,26,2nd Round,10.1,26.9
2014-15,Los Angeles Lakers,West,14,21,61,None,6.5,18.9
2014-15,Memphis Grizzlies,West,5,55,27,2nd Round,5.2,15.2
2014-15,Miami Heat,East,10,37,45,None,6.8,20.2
2014-15,Milwaukee Bucks,East,6,41,41,1st Round,6.6,18.3
2014-15,Minnesota Timberwolves,West,15,16,66,None,5,14.9
2014-15,New Orleans Pelicans,West,8,45,37,1st Round,7.1,19.3
2014-15,New York Knicks,East,15,17,65,None,6.8,19.7
2014-15,Oklahoma City Thunder,West,9,45,37,None,7.7,22.7
2014-15,Orlando Magic,East,13,25,57,None,6.8,19.5
2014-15,Philadelphia 76ers,East,14,18,64,None,8.4,26.3
2014-15,Phoenix Suns,West,10,39,43,None,8.5,25
2014-15,Portland Trail Blazers,West,4,51,31,1st Round,9.8,27.2
2014-15,Sacramento Kings,West,13,29,53,None,5.6,16.5
2014-15,San Antonio Spurs,West,6,55,27,1st Round,8.3,22.5
2014-15,Toronto Raptors,East,4,49,33,1st Round,8.9,25.1
2014-15,Utah Jazz,West,11,38,44,None,7.4,21.7
2014-15,Washington Wizards,East,5,46,36,2nd Round,6.1,16.8
2015-16,Atlanta Hawks,East,4,48,34,2nd Round,9.9,28.4
2015-16,Boston Celtics,East,5,48,34,1st Round,8.7,26.1
2015-16,Brooklyn Nets,East,14,21,61,None,6.5,18.4
2015-16,Charlotte Hornets,East,6,48,34,1st Round,10.6,29.4
2015-16,Chicago Bulls,East,9,42,40,None,7.9,21.4
2015-16,Cleveland Cavaliers,East,1,57,25,Champions,10.7,29.6
2015-16,Dallas Mavericks,West,6,42,40,1st Round,9.8,28.6
2015-16,Denver Nuggets,West,11,33,49,None,8,23.7
2015-16,Detroit Pistons,East,8,44,38,1st Round,9,26.2
2015-16,Golden State Warriors,West,1,73,9,Finals,13.1,31.6
2015-16,Houston Rockets,West,8,41,41,1st Round,10.7,30.9
2015-16,Indiana Pacers,East,7,45,37,1st Round,8.1,23
2015-16,Los Angeles Clippers,West,4,53,29,1st Round,9.7,26.7
2015-16,Los Angeles Lakers,West,15,17,65,None,7.8,24.6
2015-16,Memphis Grizzlies,West,7,42,40,1st Round,6.1,18.5
2015-16,Miami Heat,East,3,48,34,2nd Round,6.1,18
2015-16,Milwaukee Bucks,East,12,33,49,None,5.4,15.6
2015-16,Minnesota Timberwolves,West,13,29,53,None,0.5,16.4
2015-16,New Orleans Pelicans,West,12,30,52,None,8.6,23.8
2015-16,New York Knicks,East,13,32,50,None,7.4,21.5
2015-16,Oklahoma City Thunder,West,3,55,27,Conf. Finals,8.3,23.7
2015-16,Orlando Magic,East,11,35,47,None,7.8,22.2
2015-16,Philadelphia 76ers,East,15,10,72,None,9.3,27.5
2015-16,Phoenix Suns,West,13,23,59,None,9,25.8
2015-16,Portland Trail Blazers,West,5,44,38,2nd Round,10.5,28.5
2015-16,Sacramento Kings,West,10,33,49,None,8,22.4
2015-16,San Antonio Spurs,West,2,67,15,2nd Round,7,18.5
2015-16,Toronto Raptors,East,2,56,26,Conf. Finals,8.6,23.4
2015-16,Utah Jazz,West,9,40,42,None,8.5,23.9
2015-16,Washington Wizards,East,10,41,41,None,8.6,24.2
2016-17,Atlanta Hawks,East,5,43,39,1st Round,8.9,26.1
2016-17,Boston Celtics,East,1,53,29,Conf. Finals,12,33.4
2016-17,Brooklyn Nets,East,15,20,62,None,10.7,31.6
2016-17,Charlotte Hornets,East,11,36,46,None,10,28.6
2016-17,Chicago Bulls,East,8,41,41,1st Round,7.6,22.3
2016-17,Cleveland Cavaliers,East,2,51,31,Finals,13,33.9
2016-17,Dallas Mavericks,West,11,33,49,None,10.7,30.2
2016-17,Denver Nuggets,West,9,40,42,None,10.6,28.8
2016-17,Detroit Pistons,East,10,37,45,None,7.7,23.4
2016-17,Golden State Warriors,West,1,67,15,Champions,12,31.2
2016-17,Houston Rockets,West,3,55,27,2nd Round,14.4,40.3
2016-17,Indiana Pacers,East,7,42,40,1st Round,8.6,23
2016-17,Los Angeles Clippers,West,4,51,31,1st Round,10.3,27.4
